file,threshold_m,kept_points,total_points,kept_pct,true_distance_mi,adjusted_distance_mi,distance_error_mi,distance_abs_error_mi,distance_abs_pct_error,distance_pct_error,true_gain_ft,adjusted_gain_ft,gain_error_ft,gain_abs_error_ft,gain_abs_pct_error,gain_pct_error
cathy.gpx,0,76757,76757,100.0,16.0,42.21607173233943,26.21607173233943,26.21607173233943,163.85044832712143,163.85044832712143,11000.0,92588.91372399889,81588.91372399889,81588.91372399889,741.717397490899,741.717397490899
cathy.gpx,1,33547,76757,43.7054600883307,16.0,37.13913217815141,21.139132178151407,21.139132178151407,132.1195761134463,132.1195761134463,11000.0,78705.71117999936,67705.71117999936,67705.71117999936,615.5064652727215,615.5064652727215
cathy.gpx,2,17825,76757,23.22263767473976,16.0,31.27216965844542,15.27216965844542,15.27216965844542,95.45106036528388,95.45106036528388,11000.0,61495.08070799961,50495.08070799961,50495.08070799961,459.0461882545419,459.0461882545419
cathy.gpx,3,11845,76757,15.431817293536746,16.0,27.65521400658678,11.655214006586782,11.655214006586782,72.84508754116739,72.84508754116739,11000.0,51133.5318200001,40133.5318200001,40133.5318200001,364.85028927272816,364.85028927272816
cathy.gpx,4,8131,76757,10.593170655445105,16.0,24.560877477987823,8.560877477987823,8.560877477987823,53.50548423742389,53.50548423742389,11000.0,42636.81238800009,31636.812388000093,31636.812388000093,287.6073853454554,287.6073853454554
cathy.gpx,5,6245,76757,8.13606576598877,16.0,22.841173566137513,6.841173566137513,6.841173566137513,42.75733478835946,42.75733478835946,11000.0,36980.97231200006,25980.972312000064,25980.972312000064,236.19065738181874,236.19065738181874
cathy.gpx,6,4938,76757,6.433289471969983,16.0,21.134295017495358,5.134295017495358,5.134295017495358,32.08934385934599,32.08934385934599,11000.0,32588.583720000035,21588.583720000035,21588.583720000035,196.2598520000003,196.2598520000003
cathy.gpx,7,4090,76757,5.328504240655575,16.0,20.01889091168519,4.01889091168519,4.01889091168519,25.11806819803244,25.11806819803244,11000.0,29491.470760000047,18491.470760000047,18491.470760000047,168.10427963636408,168.10427963636408
cathy.gpx,8,3501,76757,4.561147517490261,16.0,19.383072489741494,3.383072489741494,3.383072489741494,21.144203060884337,21.144203060884337,11000.0,27252.625544000042,16252.625544000042,16252.625544000042,147.75114130909128,147.75114130909128
cathy.gpx,9,3003,76757,3.9123467566476022,16.0,18.520190123896203,2.520190123896203,2.520190123896203,15.751188274351268,15.751188274351268,11000.0,24756.234388000034,13756.234388000034,13756.234388000034,125.05667625454575,125.05667625454575
cathy.gpx,10,2662,76757,3.4680876011308412,16.0,18.087765407917367,2.0877654079173666,2.0877654079173666,13.048533799483542,13.048533799483542,11000.0,23506.23434800002,12506.23434800002,12506.23434800002,113.6930395272729,113.6930395272729
cathy.gpx,11,2365,76757,3.0811522076162436,16.0,17.494176747278672,1.4941767472786722,1.4941767472786722,9.338604670491701,9.338604670491701,11000.0,22674.541407999997,11674.541407999997,11674.541407999997,106.1321946181818,106.1321946181818
cathy.gpx,12,2120,76757,2.7619630782860196,16.0,17.05571818103051,1.0557181810305103,1.0557181810305103,6.598238631440689,6.598238631440689,11000.0,20990.15815200002,9990.158152000022,9990.158152000022,90.81961956363656,90.81961956363656
cathy.gpx,13,1932,76757,2.5170342770040515,16.0,16.725508125974194,0.7255081259741942,0.7255081259741942,4.534425787338714,4.534425787338714,11000.0,20931.43111600002,9931.431116000022,9931.431116000022,90.28573741818201,90.28573741818201
cathy.gpx,14,1771,76757,2.3072814205870475,16.0,16.469051895227707,0.4690518952277074,0.4690518952277074,2.9315743451731713,2.9315743451731713,11000.0,19542.97962800001,8542.979628000008,8542.979628000008,77.66345116363644,77.66345116363644
cathy.gpx,15,1628,76757,2.1209791940800184,16.0,16.112807105919565,0.11280710591956478,0.11280710591956478,0.7050444119972799,0.7050444119972799,11000.0,18334.318172000003,7334.318172000003,7334.318172000003,66.67561974545457,66.67561974545457
cathy.gpx,16,1486,76757,1.9359797803457666,16.0,15.646672663078116,-0.35332733692188434,0.35332733692188434,2.208295855761777,-2.208295855761777,11000.0,16925.52547600001,5925.52547600001,5925.52547600001,53.8684134181819,53.8684134181819
cathy.gpx,17,1384,76757,1.8030928775225712,16.0,15.446426084996814,-0.5535739150031862,0.5535739150031862,3.4598369687699138,-3.4598369687699138,11000.0,16922.244636000036,5922.244636000036,5922.244636000036,53.838587600000324,53.838587600000324
cathy.gpx,18,1297,76757,1.6897481662910223,16.0,15.26699269365644,-0.7330073063435592,0.7330073063435592,4.581295664647245,-4.581295664647245,11000.0,16439.304987999996,5439.304987999996,5439.304987999996,49.448227163636325,49.448227163636325
cathy.gpx,19,1205,76757,1.5698893911955911,16.0,14.938355107336298,-1.0616448926637023,1.0616448926637023,6.635280579148139,-6.635280579148139,11000.0,16304.462464000007,5304.4624640000075,5304.4624640000075,48.22238603636371,48.22238603636371
cathy.gpx,20,1136,76757,1.479995309874018,16.0,14.77559107719435,-1.2244089228056492,1.2244089228056492,7.652555767535308,-7.652555767535308,11000.0,15817.585808000009,4817.585808000009,4817.585808000009,43.7962346181819,43.7962346181819
cathy.gpx,21,1083,76757,1.4109462329168674,16.0,14.80183050966829,-1.1981694903317095,1.1981694903317095,7.488559314573184,-7.488559314573184,11000.0,15686.024124000007,4686.024124000007,4686.024124000007,42.60021930909097,42.60021930909097
cathy.gpx,22,1034,76757,1.3471084070508228,16.0,14.739938208090784,-1.2600617919092159,1.2600617919092159,7.875386199432599,-7.875386199432599,11000.0,15540.026744,4540.026744000001,4540.026744000001,41.272970400000005,41.272970400000005
cathy.gpx,23,972,76757,1.2663340151386844,16.0,14.423315811305123,-1.5766841886948768,1.5766841886948768,9.85427617934298,-9.85427617934298,11000.0,15056.102844000006,4056.1028440000064,4056.1028440000064,36.87366221818188,36.87366221818188
cathy.gpx,24,943,76757,1.2285524447281682,16.0,14.604837607542548,-1.3951623924574523,1.3951623924574523,8.719764952859077,-8.719764952859077,11000.0,15248.360068000009,4248.360068000009,4248.360068000009,38.62145516363645,38.62145516363645
cathy.gpx,25,890,76757,1.1595033677710176,16.0,14.292028680519627,-1.7079713194803734,1.7079713194803734,10.674820746752333,-10.674820746752333,11000.0,14674.213067999995,3674.2130679999955,3674.2130679999955,33.40193698181814,33.40193698181814
cathy.gpx,26,846,76757,1.1021796057688549,16.0,14.134642063511492,-1.8653579364885076,1.8653579364885076,11.658487103053172,-11.658487103053172,11000.0,14182.415152000009,3182.4151520000087,3182.4151520000087,28.931046836363716,28.931046836363716
cathy.gpx,27,808,76757,1.0526727204033508,16.0,13.994444632015101,-2.0055553679848988,2.0055553679848988,12.534721049905617,-12.534721049905617,11000.0,14036.417772000006,3036.417772000006,3036.417772000006,27.603797927272783,27.603797927272783
cathy.gpx,28,771,76757,1.004468647810623,16.0,13.844860915421842,-2.155139084578158,2.155139084578158,13.469619278613488,-13.469619278613488,11000.0,14294.61988,3294.61988,3294.61988,29.95108981818182,29.95108981818182
cathy.gpx,29,743,76757,0.9679898901728833,16.0,13.796909807864257,-2.2030901921357433,2.2030901921357433,13.769313700848397,-13.769313700848397,11000.0,13537.402008000003,2537.4020080000028,2537.4020080000028,23.067290981818207,23.067290981818207
cathy.gpx,30,719,76757,0.936722383626249,16.0,13.787697112051788,-2.212302887948212,2.212302887948212,13.826893049676325,-13.826893049676325,11000.0,13312.336384000004,2312.336384000004,2312.336384000004,21.021239854545488,21.021239854545488
loop.gpx,0,52424,52424,100.0,28.0,32.212318521181274,4.212318521181274,4.212318521181274,15.04399471850455,15.04399471850455,11000.0,22540.355052001476,11540.355052001476,11540.355052001476,104.91231865455887,104.91231865455887
loop.gpx,1,27148,52424,51.78544178238974,28.0,30.01926076955239,2.019260769552389,2.019260769552389,7.211645605544247,7.211645605544247,11000.0,18513.452036001032,7513.452036001032,7513.452036001032,68.30410941819119,68.30410941819119
loop.gpx,2,15544,52424,29.65054173660919,28.0,28.612372591752848,0.6123725917528482,0.6123725917528482,2.1870449705458865,2.1870449705458865,11000.0,15849.081872000517,4849.081872000517,4849.081872000517,44.08256247273197,44.08256247273197
loop.gpx,3,11862,52424,22.62704104990081,28.0,27.854104788472245,-0.14589521152775475,0.14589521152775475,0.5210543268848384,-0.5210543268848384,11000.0,14495.735372000272,3495.735372000272,3495.735372000272,31.779412472729746,31.779412472729746
loop.gpx,4,9110,52424,17.377537005951474,28.0,27.289745818391722,-0.7102541816082777,0.7102541816082777,2.5366220771724204,-2.5366220771724204,11000.0,13338.255019999997,2338.255019999997,2338.255019999997,21.256863818181788,21.256863818181788
loop.gpx,5,7375,52424,14.06798412940638,28.0,26.89950299086732,-1.1004970091326811,1.1004970091326811,3.9303464611881465,-3.9303464611881465,11000.0,12776.247127999999,1776.247127999999,1776.247127999999,16.147701163636356,16.147701163636356
loop.gpx,6,6160,52424,11.75034335418892,28.0,26.567127911248992,-1.432872088751008,1.432872088751008,5.117400316967886,-5.117400316967886,11000.0,12494.751055999996,1494.7510559999955,1494.7510559999955,13.588645963636322,13.588645963636322
loop.gpx,7,5354,52424,10.212879597131085,28.0,26.331005648121288,-1.6689943518787125,1.6689943518787125,5.960694113852544,-5.960694113852544,11000.0,11905.18410800001,905.1841080000104,905.1841080000104,8.228946436363731,8.228946436363731
loop.gpx,8,4731,52424,9.024492598809704,28.0,26.119947598840657,-1.8800524011593431,1.8800524011593431,6.714472861283369,-6.714472861283369,11000.0,11708.005623999996,708.0056239999958,708.0056239999958,6.436414763636325,6.436414763636325
loop.gpx,9,4234,52424,8.0764535327331,28.0,25.96719316517571,-2.0328068348242887,2.0328068348242887,7.260024410086745,-7.260024410086745,11000.0,11616.798271999995,616.7982719999945,616.7982719999945,5.607257018181769,5.607257018181769
loop.gpx,10,3795,52424,7.239050816419961,28.0,25.72681535737402,-2.2731846426259814,2.2731846426259814,8.118516580807077,-8.118516580807077,11000.0,11492.782519999997,492.782519999997,492.782519999997,4.479841090909064,4.479841090909064
loop.gpx,11,3470,52424,6.619105753090188,28.0,25.614708929883445,-2.385291070116555,2.385291070116555,8.518896678987696,-8.518896678987696,11000.0,11411.745772,411.7457720000002,411.7457720000002,3.7431433818181836,3.7431433818181836
loop.gpx,12,3170,52424,6.0468487715550125,28.0,25.434980825486758,-2.5650191745132425,2.5650191745132425,9.160782766118723,-9.160782766118723,11000.0,11294.291699999996,294.2916999999961,294.2916999999961,2.675379090909056,2.675379090909056
loop.gpx,13,2937,52424,5.602395849229361,28.0,25.385023644022883,-2.6149763559771166,2.6149763559771166,9.339201271346845,-9.339201271346845,11000.0,11191.601407999988,191.6014079999877,191.6014079999877,1.74183098181807,1.74183098181807
loop.gpx,14,2724,52424,5.196093392339386,28.0,25.21466909023821,-2.7853309097617895,2.7853309097617895,9.947610392006391,-9.947610392006391,11000.0,11065.617151999997,65.61715199999708,65.61715199999708,0.5965195636363371,0.5965195636363371
loop.gpx,15,2547,52424,4.858461773233634,28.0,25.169352427928253,-2.830647572071747,2.830647572071747,10.109455614541954,-10.109455614541954,11000.0,10959.974103999999,-40.02589600000101,40.02589600000101,0.363871781818191,-0.363871781818191
loop.gpx,16,2390,52424,4.558980619563559,28.0,25.07648513739068,-2.92351486260932,2.92351486260932,10.441124509319,-10.441124509319,11000.0,11005.249696000003,5.2496960000025865,5.2496960000025865,0.0477245090909326,0.0477245090909326
loop.gpx,17,2243,52424,4.278574698611323,28.0,24.966439954342796,-3.033560045657204,3.033560045657204,10.8341430202043,-10.8341430202043,11000.0,10971.128959999996,-28.87104000000363,28.87104000000363,0.262464000000033,-0.262464000000033
