threshold_m,mean_distance_pct_error,mean_gain_pct_error,mean_distance_abs_pct_error,mean_gain_abs_pct_error,mean_distance_error_mi,mean_gain_error_ft,mean_distance_abs_error_mi,mean_gain_abs_error_ft,mean_kept_pct,distance_score
16,-11.840233156667535,13.797672623094112,16.71133171265379,13.797672623094112,-2.3289504121124387,1242.2387508571444,2.877789418901613,1242.2387508571444,3.8464413950271057,16.71133171265379
15,-10.93896542229712,15.111915745496185,16.772511321730384,15.215879111729953,-2.207070762173299,1400.0471548571418,2.853264790823986,1411.4831251428564,4.112952750133132,16.772511321730384
17,-12.34234796124169,12.940463124325147,16.83669014771141,13.01545283861087,-2.4038640235402084,1178.965408000005,2.918412062589025,1187.2142765714345,3.6136814150096965,16.83669014771141
13,-9.38141970533247,21.535833996849284,17.142818410286026,21.535833996849284,-1.9723218922189087,1985.0677960000019,2.8644620784802264,1985.0677960000019,4.764995419371309,17.142818410286026
14,-9.89593594248748,18.12451090114637,17.146732754352595,18.12451090114637,-2.065688199147691,1670.2008942857144,2.8773791799723503,1670.2008942857144,4.425114121594166,17.146732754352595
18,-12.8584925251722,12.243536910381122,17.18135662232353,12.733531580511004,-2.484709743986272,1098.5848279999975,2.987576738565655,1152.4842417142847,3.4070125127135134,17.18135662232353
12,-8.482291213050258,23.082492004254785,17.313649570544623,23.082492004254785,-1.844302839241377,2102.0531765714286,2.8656619314335816,2102.0531765714286,5.159940917290316,17.313649570544623
19,-13.471689656506001,11.230348206994094,17.813894681839376,12.091887355046042,-2.5928461287078144,1015.8607908571424,3.097792696839687,1110.6300971428568,3.2223771241818007,17.813894681839376
11,-7.053524817273866,26.336240913526645,17.85739860556283,26.336240913526645,-1.6451940629707356,2419.029189714284,2.8942501048339757,2419.029189714284,5.662531387700276,17.85739860556283
20,-14.105109916099462,10.063974614006469,17.90383410192488,10.916139933486992,-2.6846024957301404,908.5773228571446,3.143178518891706,1002.3155080000023,3.0522618929590357,17.90383410192488
21,-14.214979568146509,9.985921739956382,18.0262338232725,10.968468493203137,-2.714062184430396,894.2822342857145,3.163078716104124,1002.3623771428576,2.901257743167058,18.0262338232725
22,-14.568063094054823,9.99842658531654,18.07424980146293,10.98438200349835,-2.767416905020314,887.6736851428575,3.1897535946839426,996.1287811428564,2.765777859887926,18.07424980146293
10,-6.066039355722438,30.436713298594558,18.10811366519008,30.436713298594558,-1.4854503416190727,2743.1293125714315,2.9166200957258304,2743.1293125714315,6.214473792674316,18.10811366519008
23,-15.013581534034442,9.00208717326563,18.153400999790854,9.946286445992898,-2.8171801852417473,792.7168017142861,3.2069018197913866,896.5787217142855,2.6465927275158987,18.153400999790854
24,-15.051394707911504,8.531413230141604,18.180593902858792,9.497768824946808,-2.8355742744637813,770.3602205714299,3.221095222726742,876.6593360000026,2.5337500122461307,18.180593902858792
9,-4.846511555733108,33.598422060930275,18.37992913068653,33.598422060930275,-1.2994145208487495,3028.4686542857175,2.916553419458222,3028.4686542857175,6.929869575663984,18.37992913068653
25,-15.78651807788108,7.70823741399991,18.62184768503667,8.8867824010129,-2.92663493398073,675.4970754285695,3.2952277829109566,805.1370239999982,2.425555900607042,18.62184768503667
8,-2.9795709226423432,39.74491310979529,18.799662606719128,39.74491310979529,-1.0162344073993137,3587.9456125714323,2.938419969675093,3587.9456125714323,7.818075761987897,18.799662606719128
26,-16.343471225333158,6.932880510951411,18.861684000469626,7.986157061600757,-2.996705175205324,601.8187828571438,3.3240728359730647,717.6792034285719,2.3236788084229123,18.861684000469626
27,-16.38535565980479,6.359475899379597,19.013417006808194,7.624089676002991,-3.028958847456631,551.387585142856,3.370606822567073,690.4951005714294,2.2405193149359044,19.013417006808194
7,-1.3873256965477638,45.64641127868896,19.12752553067176,45.64641127868896,-0.7749584848200064,4116.7232822857195,2.9442181936293244,4116.7232822857195,8.869958887031766,19.12752553067176
28,-16.877397612941298,6.253800024825681,19.467081451698242,7.587439266384121,-3.0988109585243953,556.2619759999988,3.4354698575627975,702.9622925714272,2.152623099123791,19.467081451698242
30,-17.175386890603292,4.466005349838211,19.54117068328653,5.910426201786275,-3.1423876187666386,379.8933914285703,3.4499395118154603,538.7796851428574,2.0060615720274675,19.54117068328653
29,-17.140785252062905,4.893549536697592,19.60232161123787,6.03545137565863,-3.134361936315989,428.6373000000006,3.454361663008734,554.2465022857147,2.073730447603083,19.60232161123787
6,0.8152148309485574,54.13517700967093,19.651381177420586,54.13517700967093,-0.4301752900779053,4894.048016571431,2.9811108102162387,4894.048016571431,10.279327394198619,19.651381177420586
5,3.9856339970779353,65.92472076082943,21.37144855441073,65.92472076082943,0.05291965735187303,5947.2445257142945,3.1804152342315755,5947.2445257142945,12.356022398056757,21.37144855441073
4,7.863186266626559,83.32092822107084,22.92374611968749,83.32092822107084,0.6524541021457401,7461.49279314286,3.3396978681726823,7461.49279314286,15.469139943163388,22.92374611968749
3,13.719142101343794,107.7091090119718,25.796422466591416,107.7091090119718,1.5663439077708698,9640.158029714326,3.67671679625604,9640.158029714326,20.557239239323387,25.796422466591416
2,21.345985593890305,142.93173471618402,29.375986510589975,142.93173471618402,2.742842467272993,12656.327980000011,4.145388587238918,12656.327980000011,27.19663888820355,29.375986510589975
1,34.29639766669441,199.4556055508891,35.714216804198585,199.4556055508891,4.7546378892361,17557.62172514289,5.015387539539421,17557.62172514289,47.894230231498604,35.714216804198585
0,49.21800098247359,262.63698835190837,49.21800098247359,262.63698835190837,7.036133881962042,22765.861486857237,7.036133881962042,22765.861486857237,100.0,49.21800098247359
